"","...1","country","region","Logged GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption","latitude","longitude","Year","Score"
"53",8,"Luxembourg","Western Europe",11.647,0.908,72.6,0.907,-0.034,0.386,49.815273,6.129583,"2018",6.91
"54",8,"Luxembourg","Western Europe",11.647,0.908,72.6,0.907,-0.034,0.386,49.815273,6.129583,"2019",7.09
"55",8,"Luxembourg","Western Europe",11.647,0.908,72.6,0.907,-0.034,0.386,49.815273,6.129583,"2020",7.299600124
"56",8,"Luxembourg","Western Europe",11.647,0.908,72.6,0.907,-0.034,0.386,49.815273,6.129583,"2021",7.324
"57",9,"New Zealand","North America and ANZ",10.643,0.948,73.4,0.929,0.134,0.242,-40.900557,174.885971,"2015",7.286
"58",9,"New Zealand","North America and ANZ",10.643,0.948,73.4,0.929,0.134,0.242,-40.900557,174.885971,"2016",7.334
"59",9,"New Zealand","North America and ANZ",10.643,0.948,73.4,0.929,0.134,0.242,-40.900557,174.885971,"2017",7.31400013
"60",9,"New Zealand","North America and ANZ",10.643,0.948,73.4,0.929,0.134,0.242,-40.900557,174.885971,"2018",7.324
"61",9,"New Zealand","North America and ANZ",10.643,0.948,73.4,0.929,0.134,0.242,-40.900557,174.885971,"2019",7.307
"62",9,"New Zealand","North America and ANZ",10.643,0.948,73.4,0.929,0.134,0.242,-40.900557,174.885971,"2020",7.294199944
"63",9,"New Zealand","North America and ANZ",10.643,0.948,73.4,0.929,0.134,0.242,-40.900557,174.885971,"2021",7.277
"64",10,"Austria","Western Europe",10.906,0.934,73.3,0.908,0.042,0.481,47.516231,14.550072,"2015",7.2
"65",10,"Austria","Western Europe",10.906,0.934,73.3,0.908,0.042,0.481,47.516231,14.550072,"2016",7.119
"66",10,"Austria","Western Europe",10.906,0.934,73.3,0.908,0.042,0.481,47.516231,14.550072,"2017",7.006000042
"67",10,"Austria","Western Europe",10.906,0.934,73.3,0.908,0.042,0.481,47.516231,14.550072,"2018",7.139
"68",10,"Austria","Western Europe",10.906,0.934,73.3,0.908,0.042,0.481,47.516231,14.550072,"2019",7.246
