;country;region;2020;2021;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;latitude;longitude
52;Colombia;Latin America and Caribbean;6.006000042;6.012;9.557;0.847;68.001;0.837;-0.135;0.841;4.570868;-74.297333
53;Hungary;Central and Eastern Europe;6.000400066;5.992;10.358;0.943;68;0.755;-0.186;0.876;47.162494;19.503304
54;Thailand;Southeast Asia;5.998799801;5.985;9.805;0.888;67.401;0.884;0.287;0.895;15.870032;100.992541
55;Nicaragua;Latin America and Caribbean;5.974699974;5.972;8.62;0.864;67.657;0.836;0.02;0.664;12.865416;-85.207229
56;Japan;East Asia;5.953199863;5.94;10.611;0.884;75.1;0.796;-0.258;0.638;36.204824;138.252924
57;Argentina;Latin America and Caribbean;5.949999809;5.929;9.962;0.898;69;0.828;-0.182;0.834;-38.416097;-63.616672
58;Portugal;Western Europe;5.925199986;5.929;10.421;0.879;72.6;0.892;-0.244;0.887;39.399872;-8.224454
59;Honduras;Latin America and Caribbean;5.910900116;5.919;8.648;0.812;67.3;0.857;0.081;0.809;15.199999;-86.241905
60;Croatia;Central and Eastern Europe;5.889800072;5.882;10.217;0.924;70.799;0.754;-0.118;0.939;45.1;15.2
61;Philippines;Southeast Asia;5.872399807;5.88;9.076;0.83;62;0.917;-0.097;0.742;12.879721;121.774017
62;South Korea;East Asia;5.870800018;5.845;10.651;0.799;73.9;0.672;-0.083;0.727;35.907757;127.766922
63;Peru;Latin America and Caribbean;5.796800137;5.84;9.458;0.832;68.25;0.822;-0.154;0.891;-9.189967;-75.015152
64;Bosnia and Herzegovina;Central and Eastern Europe;5.77820015;5.813;9.59;0.87;68.098;0.706;0.113;0.931;43.915886;17.679076
65;Moldova;Commonwealth of Independent States;5.747499943;5.766;9.454;0.857;65.699;0.822;-0.079;0.918;47.411631;28.369885
66;Ecuador;Latin America and Caribbean;5.69329977;5.764;9.313;0.821;68.8;0.842;-0.124;0.843;-1.831239;-78.183406
67;Kyrgyzstan;Commonwealth of Independent States;5.692100048;5.744;8.538;0.893;64.401;0.935;0.119;0.908;41.20438;74.766098
68;Greece;Western Europe;5.689199924;5.723;10.279;0.823;72.6;0.582;-0.288;0.823;39.074208;21.824312
69;Bolivia;Latin America and Caribbean;5.674099922;5.716;9.046;0.81;63.901;0.875;-0.077;0.839;-16.290154;-63.588653
70;Mongolia;East Asia;5.607500076;5.677;9.4;0.935;62.5;0.708;0.116;0.856;46.862496;103.846656
71;Paraguay;Latin America and Caribbean;5.555699825;5.653;9.448;0.893;65.9;0.876;0.028;0.882;-23.442503;-58.443832
